route,layer,start,end,cagr,benchmark_cagr,cagr_delta,sharpe,benchmark_sharpe,sharpe_delta,maxdd,benchmark_maxdd,maxdd_improvement,terminal,benchmark_terminal
USD_2X,NO_CRYPTO_LAYER,2018-01-02,2026-07-20,0.3866517580,0.3172558920,0.0693958660,0.9798412944,0.9622371559,0.0176041385,-0.4811891355,-0.4737382677,-0.0074508678,16.2009234407,10.4609392789
USD_2X,BTC_ABOVE_SMA100,2018-01-02,2026-07-20,0.3714621302,0.3172558920,0.0542062382,0.9933351263,0.9622371559,0.0310979704,-0.4982591406,-0.4737382677,-0.0245208729,14.7497402330,10.4609392789
USD_2X,BTC_ABOVE_SMA200,2018-01-02,2026-07-20,0.3840298653,0.3172558920,0.0667739733,1.0137266921,0.9622371559,0.0514895362,-0.5322485198,-0.4737382677,-0.0585102521,15.9417843172,10.4609392789
USD_2X,BTC_NOT_IN_20PCT_63D_CRASH,2018-01-02,2026-07-20,0.3769705749,0.3172558920,0.0597146829,0.9812849596,0.9622371559,0.0190478037,-0.4807004979,-0.4737382677,-0.0069622302,15.2621616592,10.4609392789
USD_2X,BTC_TREND_AND_FUNDING_NOT_EXTREME,2018-01-02,2026-07-20,0.3556926865,0.3172558920,0.0384367945,0.9700146861,0.9622371559,0.0077775302,-0.4982591406,-0.4737382677,-0.0245208729,13.3657366317,10.4609392789
SOXL_3X,NO_CRYPTO_LAYER,2018-01-02,2026-07-20,0.3722306189,0.3172558920,0.0549747269,0.9587786469,0.9622371559,-0.0034585090,-0.5133524638,-0.4737382677,-0.0396141961,14.8203044707,10.4609392789
SOXL_3X,BTC_ABOVE_SMA100,2018-01-02,2026-07-20,0.3515734479,0.3172558920,0.0343175559,0.9618711374,0.9622371559,-0.0003660185,-0.5244891109,-0.4737382677,-0.0507508432,13.0236603360,10.4609392789
SOXL_3X,BTC_ABOVE_SMA200,2018-01-02,2026-07-20,0.3480291924,0.3172558920,0.0307733004,0.9569362090,0.9622371559,-0.0053009469,-0.5316120963,-0.4737382677,-0.0578738286,12.7355417874,10.4609392789
SOXL_3X,BTC_NOT_IN_20PCT_63D_CRASH,2018-01-02,2026-07-20,0.3619956148,0.3172558920,0.0447397228,0.9627491711,0.9622371559,0.0005120152,-0.5136988744,-0.4737382677,-0.0399606066,13.9045118140,10.4609392789
SOXL_3X,BTC_TREND_AND_FUNDING_NOT_EXTREME,2018-01-02,2026-07-20,0.3447942096,0.3172558920,0.0275383176,0.9551311578,0.9622371559,-0.0071059981,-0.5244891109,-0.4737382677,-0.0507508432,12.4774906755,10.4609392789
