route,layer,block,start,end,cagr,benchmark_cagr,cagr_delta,sharpe,benchmark_sharpe,sharpe_delta,maxdd,benchmark_maxdd,maxdd_improvement,terminal,benchmark_terminal
USD_2X,NO_CRYPTO_LAYER,2018_2020,2018-01-02,2020-12-31,0.2623312205,0.3241859237,-0.0618547032,0.7975167154,1.0456927311,-0.2481760157,-0.4584740553,-0.3517952443,-0.1066788110,2.0114996923,2.3219181206
USD_2X,NO_CRYPTO_LAYER,2021_2023,2021-01-04,2023-12-29,0.3354270710,0.1521296268,0.1832974441,0.8918081665,0.5843390074,0.3074691591,-0.4811891355,-0.4737382677,-0.0074508678,2.3733678166,1.5267638728
USD_2X,NO_CRYPTO_LAYER,2024_2026,2024-01-02,2026-07-20,0.6203181952,0.5332876466,0.0870305486,1.2583893363,1.2813930406,-0.0230037043,-0.4759743465,-0.4279036477,-0.0480706988,3.3935538906,2.9508824229
USD_2X,BTC_ABOVE_SMA100,2018_2020,2018-01-02,2020-12-31,0.3216364407,0.3241859237,-0.0025494830,0.9521372846,1.0456927311,-0.0935554465,-0.4584740553,-0.3517952443,-0.1066788110,2.3085326117,2.3219181206
USD_2X,BTC_ABOVE_SMA100,2021_2023,2021-01-04,2023-12-29,0.2716899102,0.1521296268,0.1195602833,0.8046368585,0.5843390074,0.2202978512,-0.4905871594,-0.4737382677,-0.0168488917,2.0506948602,1.5267638728
USD_2X,BTC_ABOVE_SMA100,2024_2026,2024-01-02,2026-07-20,0.5665470875,0.5332876466,0.0332594409,1.2419845135,1.2813930406,-0.0394085270,-0.4982591406,-0.4279036477,-0.0703554930,3.1156403150,2.9508824229
USD_2X,BTC_ABOVE_SMA200,2018_2020,2018-01-02,2020-12-31,0.3013311356,0.3241859237,-0.0228547881,0.9138040151,1.0456927311,-0.1318887160,-0.4519522950,-0.3517952443,-0.1001570508,2.2037557705,2.3219181206
USD_2X,BTC_ABOVE_SMA200,2021_2023,2021-01-04,2023-12-29,0.3293308624,0.1521296268,0.1772012355,0.9128101486,0.5843390074,0.3284711412,-0.4737382677,-0.4737382677,-0.0000000000,2.3411402977,1.5267638728
USD_2X,BTC_ABOVE_SMA200,2024_2026,2024-01-02,2026-07-20,0.5614245410,0.5332876466,0.0281368944,1.2261679493,1.2813930406,-0.0552250913,-0.5322485198,-0.4279036477,-0.1043448721,3.0899113961,2.9508824229
USD_2X,BTC_NOT_IN_20PCT_63D_CRASH,2018_2020,2018-01-02,2020-12-31,0.2525842032,0.3241859237,-0.0716017205,0.7979769226,1.0456927311,-0.2477158085,-0.4584740553,-0.3517952443,-0.1066788110,1.9652635127,2.3219181206
USD_2X,BTC_NOT_IN_20PCT_63D_CRASH,2021_2023,2021-01-04,2023-12-29,0.3068750738,0.1521296268,0.1547454470,0.8475268761,0.5843390074,0.2631878687,-0.4801005729,-0.4737382677,-0.0063623052,2.2249409283,1.5267638728
USD_2X,BTC_NOT_IN_20PCT_63D_CRASH,2024_2026,2024-01-02,2026-07-20,0.6384297171,0.5332876466,0.1051420705,1.3111944370,1.2813930406,0.0298013964,-0.4807004979,-0.4279036477,-0.0527968503,3.4904126443,2.9508824229
USD_2X,BTC_TREND_AND_FUNDING_NOT_EXTREME,2018_2020,2018-01-02,2020-12-31,0.3099032191,0.3241859237,-0.0142827046,0.9375115408,1.0456927311,-0.1081811903,-0.4359693900,-0.3517952443,-0.0841741457,2.2475927796,2.3219181206
USD_2X,BTC_TREND_AND_FUNDING_NOT_EXTREME,2021_2023,2021-01-04,2023-12-29,0.2483208567,0.1521296268,0.0961912299,0.7630225905,0.5843390074,0.1786835831,-0.4905871594,-0.4737382677,-0.0168488917,1.9401349500,1.5267638728
USD_2X,BTC_TREND_AND_FUNDING_NOT_EXTREME,2024_2026,2024-01-02,2026-07-20,0.5564583065,0.5332876466,0.0231706599,1.2275713670,1.2813930406,-0.0538216736,-0.4982591406,-0.4279036477,-0.0703554930,3.0650907096,2.9508824229
SOXL_3X,NO_CRYPTO_LAYER,2018_2020,2018-01-02,2020-12-31,0.3117504062,0.3241859237,-0.0124355175,0.8972464024,1.0456927311,-0.1484463287,-0.4491772119,-0.3517952443,-0.0973819677,2.2571146626,2.3219181206
SOXL_3X,NO_CRYPTO_LAYER,2021_2023,2021-01-04,2023-12-29,0.2446112003,0.1521296268,0.0924815735,0.7343503203,0.5843390074,0.1500113130,-0.4975803065,-0.4737382677,-0.0238420388,1.9229578332,1.5267638728
