candidate,selection_score,development_exposure,start,end,cagr,benchmark_cagr,cagr_delta,sharpe,benchmark_sharpe,sharpe_delta,maxdd,benchmark_maxdd,maxdd_improvement,terminal,benchmark_terminal
SOXX_RSI10_R5_H40_LSTOP12,0.0521618906,1.1940013870,2001-07-13,2012-12-31,-0.0147787396,-0.0218872241,0.0071084845,0.1758339772,0.1296199943,0.0462139829,-0.6974931946,-0.6949438280,-0.0025493666,0.8433301900,0.7762590240
SOXX_RSI5_R5_H30_LSTOP16,0.0488334125,1.1277739251,2001-07-13,2012-12-31,-0.0146591189,-0.0218872241,0.0072281052,0.1673496917,0.1296199943,0.0377296974,-0.6957092787,-0.6949438280,-0.0007654507,0.8445027645,0.7762590240
SOXX_RSI7_R5_H30_LSTOP12,0.0358021258,1.1412968100,2001-07-13,2012-12-31,-0.0158697670,-0.0218872241,0.0060174571,0.1663721857,0.1296199943,0.0367521914,-0.7014867540,-0.6949438280,-0.0065429260,0.8327038383,0.7762590240
SOXX_RSI10_R5_H50_LSTOP16,0.0304438672,1.2073509015,2001-07-13,2012-12-31,-0.0177737092,-0.0218872241,0.0041135149,0.1698158229,0.1296199943,0.0401958286,-0.7029728606,-0.6949438280,-0.0080290327,0.8144521395,0.7762590240
SOXX_RSI10_R15_H50_LSTOP12,0.0288657358,1.1328016644,2001-07-13,2012-12-31,-0.0185964181,-0.0218872241,0.0032908060,0.1564753195,0.1296199943,0.0268553253,-0.6957092787,-0.6949438280,-0.0007654507,0.8066790059,0.7762590240
SOXX_RSI7_R5_H50_LSTOP16,0.0264253084,1.1813453537,2001-07-13,2012-12-31,-0.0199903432,-0.0218872241,0.0018968809,0.1596036668,0.1296199943,0.0299836725,-0.6961125537,-0.6949438280,-0.0011687257,0.7936632790,0.7762590240
SOXX_RSI5_R15_H50_LSTOP12,0.0232582833,1.0631067961,2001-07-13,2012-12-31,-0.0163727403,-0.0218872241,0.0055144838,0.1534059899,0.1296199943,0.0237859957,-0.7023602712,-0.6949438280,-0.0074164432,0.8278462710,0.7762590240
SOXX_RSI5_R5_H40_LSTOP16,0.0212680237,1.1549930652,2001-07-13,2012-12-31,-0.0204712894,-0.0218872241,0.0014159347,0.1548720079,0.1296199943,0.0252520136,-0.6962230216,-0.6949438280,-0.0012791937,0.7892171255,0.7762590240
SOXX_RSI10_R5_H40_LSTOP16,0.0129714450,1.1924410541,2001-07-13,2012-12-31,-0.0187551852,-0.0218872241,0.0031320388,0.1666241005,0.1296199943,0.0370041063,-0.7110623288,-0.6949438280,-0.0161185008,0.8051867559,0.7762590240
SOXX_RSI10_R15_H50_LSTOP16,0.0127342118,1.1373092926,2001-07-13,2012-12-31,-0.0208697685,-0.0218872241,0.0010174555,0.1514486277,0.1296199943,0.0218286334,-0.6994035813,-0.6949438280,-0.0044597533,0.7855505792,0.7762590240
