route,candidate,start,end,cagr,benchmark_cagr,cagr_delta,sharpe,benchmark_sharpe,sharpe_delta,maxdd,benchmark_maxdd,maxdd_improvement,terminal,benchmark_terminal,all_three_pass
USD_2X,SOXX_RSI5_R5_H30_LSTOPNONE,2013-01-02,2026-07-20,0.3821562597,0.3029201876,0.0792360722,1.0928804161,1.0242632252,0.0686171909,-0.4737382677,-0.4737382677,0.0000000000,79.3875726579,35.7449397653,True
USD_2X,SOXX_RSI5_R5_H30_LSTOP12,2013-01-02,2026-07-20,0.3837617454,0.3029201876,0.0808415579,1.1125364183,1.0242632252,0.0882731931,-0.4737382677,-0.4737382677,-0.0000000000,80.6430400901,35.7449397653,False
USD_2X,SOXX_RSI5_R5_H30_LSTOP16,2013-01-02,2026-07-20,0.3819407559,0.3029201876,0.0790205683,1.1063396539,1.0242632252,0.0820764287,-0.4737382677,-0.4737382677,0.0000000000,79.2204363571,35.7449397653,True
USD_2X,SOXX_RSI5_R5_H40_LSTOPNONE,2013-01-02,2026-07-20,0.4145475756,0.3029201876,0.1116273880,1.1499978686,1.0242632252,0.1257346434,-0.4737382677,-0.4737382677,0.0000000000,108.5744897950,35.7449397653,True
USD_2X,SOXX_RSI5_R5_H40_LSTOP12,2013-01-02,2026-07-20,0.3976616872,0.3029201876,0.0947414996,1.1259909232,1.0242632252,0.1017276980,-0.4737382677,-0.4737382677,0.0000000000,92.3072440359,35.7449397653,True
USD_2X,SOXX_RSI5_R5_H40_LSTOP16,2013-01-02,2026-07-20,0.4088481006,0.3029201876,0.1059279130,1.1548103649,1.0242632252,0.1305471397,-0.4737382677,-0.4737382677,-0.0000000000,102.8085488783,35.7449397653,False
USD_2X,SOXX_RSI5_R5_H50_LSTOPNONE,2013-01-02,2026-07-20,0.4102077121,0.3029201876,0.1072875245,1.1194803136,1.0242632252,0.0952170884,-0.4874325554,-0.4737382677,-0.0136942877,104.1576626587,35.7449397653,False
USD_2X,SOXX_RSI5_R5_H50_LSTOP12,2013-01-02,2026-07-20,0.3899616677,0.3029201876,0.0870414801,1.0950479367,1.0242632252,0.0707847115,-0.4874325554,-0.4737382677,-0.0136942877,85.6659041112,35.7449397653,False
USD_2X,SOXX_RSI5_R5_H50_LSTOP16,2013-01-02,2026-07-20,0.3951443957,0.3029201876,0.0922242082,1.1088681879,1.0242632252,0.0846049627,-0.4874325554,-0.4737382677,-0.0136942877,90.0853535132,35.7449397653,False
USD_2X,SOXX_RSI5_R10_H30_LSTOPNONE,2013-01-02,2026-07-20,0.3560719310,0.3029201876,0.0531517435,1.0824932320,1.0242632252,0.0582300068,-0.4737382677,-0.4737382677,-0.0000000000,61.3644062567,35.7449397653,False
USD_2X,SOXX_RSI5_R10_H30_LSTOP12,2013-01-02,2026-07-20,0.3521098499,0.3029201876,0.0491896623,1.0921538261,1.0242632252,0.0678906009,-0.4737382677,-0.4737382677,-0.0000000000,58.9849531303,35.7449397653,False
USD_2X,SOXX_RSI5_R10_H30_LSTOP16,2013-01-02,2026-07-20,0.3444039655,0.3029201876,0.0414837780,1.0735947654,1.0242632252,0.0493315402,-0.4737382677,-0.4737382677,-0.0000000000,54.5999506751,35.7449397653,False
USD_2X,SOXX_RSI5_R10_H40_LSTOPNONE,2013-01-02,2026-07-20,0.3653977839,0.3029201876,0.0624775963,1.0871414578,1.0242632252,0.0628782325,-0.4737382677,-0.4737382677,-0.0000000000,67.3203066089,35.7449397653,False
USD_2X,SOXX_RSI5_R10_H40_LSTOP12,2013-01-02,2026-07-20,0.3581299339,0.3029201876,0.0552097463,1.0926841156,1.0242632252,0.0684208903,-0.4737382677,-0.4737382677,-0.0000000000,62.6351350940,35.7449397653,False
USD_2X,SOXX_RSI5_R10_H40_LSTOP16,2013-01-02,2026-07-20,0.3497273620,0.3029201876,0.0468071745,1.0725376165,1.0242632252,0.0482743913,-0.4737382677,-0.4737382677,0.0000000000,57.5955727031,35.7449397653,True
USD_2X,SOXX_RSI5_R10_H50_LSTOPNONE,2013-01-02,2026-07-20,0.3661383255,0.3029201876,0.0632181380,1.0698346225,1.0242632252,0.0455713973,-0.4766476054,-0.4737382677,-0.0029093377,67.8154774786,35.7449397653,False
USD_2X,SOXX_RSI5_R10_H50_LSTOP12,2013-01-02,2026-07-20,0.3556275764,0.3029201876,0.0527073888,1.0744376113,1.0242632252,0.0501743861,-0.4766476054,-0.4737382677,-0.0029093377,61.0931890261,35.7449397653,False
USD_2X,SOXX_RSI5_R10_H50_LSTOP16,2013-01-02,2026-07-20,0.3437042723,0.3029201876,0.0407840847,1.0439100123,1.0242632252,0.0196467871,-0.4766476054,-0.4737382677,-0.0029093377,54.2171256566,35.7449397653,False
USD_2X,SOXX_RSI5_R15_H30_LSTOPNONE,2013-01-02,2026-07-20,0.3201455111,0.3029201876,0.0172253235,1.0276322228,1.0242632252,0.0033689976,-0.4737382677,-0.4737382677,-0.0000000000,42.6883114517,35.7449397653,False
USD_2X,SOXX_RSI5_R15_H30_LSTOP12,2013-01-02,2026-07-20,0.3162891207,0.3029201876,0.0133689331,1.0193311489,1.0242632252,-0.0049320763,-0.4737382677,-0.4737382677,-0.0000000000,41.0333433573,35.7449397653,False
USD_2X,SOXX_RSI5_R15_H30_LSTOP16,2013-01-02,2026-07-20,0.3151368175,0.3029201876,0.0122166299,1.0165121736,1.0242632252,-0.0077510516,-0.4737382677,-0.4737382677,0.0000000000,40.5504860913,35.7449397653,False
USD_2X,SOXX_RSI5_R15_H40_LSTOPNONE,2013-01-02,2026-07-20,0.3378713013,0.3029201876,0.0349511137,1.0577038108,1.0242632252,0.0334405856,-0.4737382677,-0.4737382677,0.0000000000,51.1210936958,35.7449397653,True
USD_2X,SOXX_RSI5_R15_H40_LSTOP12,2013-01-02,2026-07-20,0.3351751291,0.3029201876,0.0322549415,1.0533733280,1.0242632252,0.0291101028,-0.4737382677,-0.4737382677,0.0000000000,49.7460759564,35.7449397653,True
USD_2X,SOXX_RSI5_R15_H40_LSTOP16,2013-01-02,2026-07-20,0.3308990630,0.3029201876,0.0279788755,1.0426333949,1.0242632252,0.0183701697,-0.4737382677,-0.4737382677,-0.0000000000,47.6353837468,35.7449397653,False
USD_2X,SOXX_RSI5_R15_H50_LSTOPNONE,2013-01-02,2026-07-20,0.3291041496,0.3029201876,0.0261839620,1.0244117764,1.0242632252,0.0001485512,-0.4737382677,-0.4737382677,-0.0000000000,46.7743694886,35.7449397653,False
USD_2X,SOXX_RSI5_R15_H50_LSTOP12,2013-01-02,2026-07-20,0.3189080218,0.3029201876,0.0159878343,1.0082558667,1.0242632252,-0.0160073585,-0.4737382677,-0.4737382677,-0.0000000000,42.1506278528,35.7449397653,False
USD_2X,SOXX_RSI5_R15_H50_LSTOP16,2013-01-02,2026-07-20,0.3152194340,0.3029201876,0.0122992465,0.9960957075,1.0242632252,-0.0281675177,-0.4737382677,-0.4737382677,0.0000000000,40.5849295790,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H30_LSTOPNONE,2013-01-02,2026-07-20,0.3165411220,0.3029201876,0.0136209344,0.9354437378,1.0242632252,-0.0888194874,-0.4932402732,-0.4737382677,-0.0195020055,41.1396481593,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H30_LSTOP12,2013-01-02,2026-07-20,0.3405240739,0.3029201876,0.0376038864,0.9975990192,1.0242632252,-0.0266642061,-0.4811891355,-0.4737382677,-0.0074508678,52.5082532313,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H30_LSTOP16,2013-01-02,2026-07-20,0.3336136388,0.3029201876,0.0306934512,0.9817013626,1.0242632252,-0.0425618627,-0.4837220379,-0.4737382677,-0.0099837702,48.9654766224,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H40_LSTOPNONE,2013-01-02,2026-07-20,0.3640683100,0.3029201876,0.0611481224,1.0147397029,1.0242632252,-0.0095235223,-0.5161671959,-0.4737382677,-0.0424289282,66.4397315834,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H40_LSTOP12,2013-01-02,2026-07-20,0.3752405242,0.3029201876,0.0723203367,1.0587935877,1.0242632252,0.0345303624,-0.4811891355,-0.4737382677,-0.0074508678,74.1836868245,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H40_LSTOP16,2013-01-02,2026-07-20,0.3736093009,0.3029201876,0.0706891133,1.0534603251,1.0242632252,0.0291970999,-0.4940515096,-0.4737382677,-0.0203132418,73.0031858614,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H50_LSTOPNONE,2013-01-02,2026-07-20,0.3959715655,0.3029201876,0.0930513779,1.0557364942,1.0242632252,0.0314732690,-0.5242296626,-0.4737382677,-0.0504913948,90.8099326384,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H50_LSTOP12,2013-01-02,2026-07-20,0.3859531918,0.3029201876,0.0830330042,1.0720510543,1.0242632252,0.0477878291,-0.4811891355,-0.4737382677,-0.0074508678,82.3864096928,35.7449397653,False
USD_2X,SOXX_RSI7_R5_H50_LSTOP16,2013-01-02,2026-07-20,0.3958135049,0.3029201876,0.0928933173,1.0807874440,1.0242632252,0.0565242188,-0.4940515096,-0.4737382677,-0.0203132418,90.6710599158,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H30_LSTOPNONE,2013-01-02,2026-07-20,0.3129067591,0.3029201876,0.0099865715,0.9647375009,1.0242632252,-0.0595257243,-0.4970933666,-0.4737382677,-0.0233550989,39.6309209219,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H30_LSTOP12,2013-01-02,2026-07-20,0.3235833256,0.3029201876,0.0206631380,0.9966621700,1.0242632252,-0.0276010552,-0.4827014725,-0.4737382677,-0.0089632048,44.2155405562,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H30_LSTOP16,2013-01-02,2026-07-20,0.3183200624,0.3029201876,0.0153998749,0.9818140136,1.0242632252,-0.0424492116,-0.4970933666,-0.4737382677,-0.0233550989,41.8973659998,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H40_LSTOPNONE,2013-01-02,2026-07-20,0.3372952645,0.3029201876,0.0343750769,1.0069147727,1.0242632252,-0.0173484525,-0.5145233711,-0.4737382677,-0.0407851034,50.8243986502,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H40_LSTOP12,2013-01-02,2026-07-20,0.3386156753,0.3029201876,0.0356954877,1.0258380223,1.0242632252,0.0015747971,-0.4827014725,-0.4737382677,-0.0089632048,51.5068684822,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H40_LSTOP16,2013-01-02,2026-07-20,0.3364328847,0.3029201876,0.0335126971,1.0189643982,1.0242632252,-0.0052988270,-0.4955263526,-0.4737382677,-0.0217880849,50.3831983453,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H50_LSTOPNONE,2013-01-02,2026-07-20,0.3593057479,0.3029201876,0.0563855603,1.0359822790,1.0242632252,0.0117190537,-0.5318113165,-0.4737382677,-0.0580730488,63.3720440162,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H50_LSTOP12,2013-01-02,2026-07-20,0.3488887748,0.3029201876,0.0459685873,1.0400696841,1.0242632252,0.0158064589,-0.4855612588,-0.4737382677,-0.0118229911,57.1137940508,35.7449397653,False
USD_2X,SOXX_RSI7_R10_H50_LSTOP16,2013-01-02,2026-07-20,0.3464241390,0.3029201876,0.0435039514,1.0320159291,1.0242632252,0.0077527039,-0.4983152391,-0.4737382677,-0.0245769713,55.7193459549,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H30_LSTOPNONE,2013-01-02,2026-07-20,0.2952947636,0.3029201876,-0.0076254239,0.9330208608,1.0242632252,-0.0912423644,-0.4970933666,-0.4737382677,-0.0233550989,33.0186917348,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H30_LSTOP12,2013-01-02,2026-07-20,0.2936184627,0.3029201876,-0.0093017249,0.9406485893,1.0242632252,-0.0836146359,-0.4827014725,-0.4737382677,-0.0089632048,32.4457989245,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H30_LSTOP16,2013-01-02,2026-07-20,0.3006354502,0.3029201876,-0.0022847373,0.9501555221,1.0242632252,-0.0741077031,-0.4970933666,-0.4737382677,-0.0233550989,34.9069913156,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H40_LSTOPNONE,2013-01-02,2026-07-20,0.3313327456,0.3029201876,0.0284125580,0.9909836402,1.0242632252,-0.0332795850,-0.5145233711,-0.4737382677,-0.0407851034,47.8456097271,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H40_LSTOP12,2013-01-02,2026-07-20,0.3268483868,0.3029201876,0.0239281992,1.0020277036,1.0242632252,-0.0222355216,-0.4827014725,-0.4737382677,-0.0089632048,45.7127243144,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H40_LSTOP16,2013-01-02,2026-07-20,0.3347056813,0.3029201876,0.0317854937,1.0108294779,1.0242632252,-0.0134337473,-0.4955263526,-0.4737382677,-0.0217880849,49.5101929303,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H50_LSTOPNONE,2013-01-02,2026-07-20,0.3522750659,0.3029201876,0.0493548784,1.0297961627,1.0242632252,0.0055329375,-0.5292086362,-0.4737382677,-0.0554703685,59.0824426204,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H50_LSTOP12,2013-01-02,2026-07-20,0.3260014030,0.3029201876,0.0230812154,0.9894493256,1.0242632252,-0.0348138996,-0.4827014725,-0.4737382677,-0.0089632048,45.3198977051,35.7449397653,False
USD_2X,SOXX_RSI7_R15_H50_LSTOP16,2013-01-02,2026-07-20,0.3450071592,0.3029201876,0.0420869716,1.0213619368,1.0242632252,-0.0029012885,-0.4955263526,-0.4737382677,-0.0217880849,54.9319851002,35.7449397653,False
