route,years,start,end,cagr,benchmark_cagr,cagr_delta,sharpe,benchmark_sharpe,sharpe_delta,maxdd,benchmark_maxdd,maxdd_improvement,terminal,benchmark_terminal
USD_2X,3,2013-01-02,2015-12-31,0.2065650539,0.1986094822,0.0079555716,0.8888534336,1.0097466834,-0.1208932498,-0.3566641280,-0.2685866958,-0.0880774322,1.7565164755,1.7219999214
USD_2X,3,2013-04-02,2016-04-01,0.1899625598,0.1810368067,0.0089257531,0.8140873925,0.8993609384,-0.0852735459,-0.3566641280,-0.2685866958,-0.0880774322,1.6861632789,1.6484548520
USD_2X,3,2013-07-02,2016-07-01,0.1518683542,0.1490443870,0.0028239673,0.6849134953,0.7689406351,-0.0840271398,-0.3566641280,-0.2685866958,-0.0880774322,1.5291574423,1.5179233738
USD_2X,3,2013-10-02,2016-09-30,0.2337428921,0.2094713437,0.0242715484,0.9387587744,0.9999228779,-0.0611641035,-0.3566641280,-0.2685866958,-0.0880774322,1.8779066109,1.7692399971
USD_2X,3,2014-01-02,2016-12-30,0.2333142666,0.2112198380,0.0220944286,0.9183235258,0.9835467069,-0.0652231812,-0.3566641280,-0.2685866958,-0.0880774322,1.8759500304,1.7769242975
USD_2X,3,2014-04-02,2017-03-31,0.2311923390,0.2075359454,0.0236563936,0.9127169780,0.9738267149,-0.0611097369,-0.3566641280,-0.2685866958,-0.0880774322,1.8662839167,1.7607601579
USD_2X,3,2014-07-02,2017-06-30,0.2055655777,0.1880512671,0.0175143106,0.8247593860,0.8869302532,-0.0621708672,-0.3566641280,-0.2685866958,-0.0880774322,1.7521549804,1.6768937478
USD_2X,3,2014-10-02,2017-10-02,0.2777583740,0.2531216634,0.0246367106,1.0331435212,1.1229111520,-0.0897676308,-0.3566641280,-0.2685866958,-0.0880774322,2.0861532443,1.9677943705
USD_2X,3,2015-01-02,2018-01-02,0.2585149402,0.2489626947,0.0095522455,1.0090857768,1.1328753480,-0.1237895712,-0.3566641280,-0.2685866958,-0.0880774322,1.9933112902,1.9482666654
USD_2X,3,2015-04-02,2018-04-02,0.2351080141,0.2467618965,-0.0116538824,0.9216967591,1.1034743958,-0.1817776367,-0.3566641280,-0.2685866958,-0.0880774322,1.8825690329,1.9362902981
USD_2X,3,2015-07-02,2018-07-02,0.2713385178,0.2638630097,0.0074755080,1.0010911407,1.1403453812,-0.1392542405,-0.2734689802,-0.1970826405,-0.0763863397,2.0548665145,2.0188312088
