product,signal,strategy,window,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
USD,SMH,PB_RSI3_R5_H20,MAX,0.08005498117730347,0.47391738369026176,-0.5891023244843874,0.13589316804575793,0.1388605268531754,33.0,44661.99137514697
USD,SMH,PB_RSI3_R5_H20,3Y,0.28388699233181525,1.1209928121742276,-0.20089375091008377,1.413120074894105,0.1595744680851064,6.0,21079.37591920183
USD,SMH,PB_RSI3_R5_H20,5Y,0.3381146864196911,1.3492796893376866,-0.20089375091008366,1.6830522845433107,0.12749003984063745,8.0,42653.7184675345
USD,SMH,PB_RSI3_R5_H20,10Y,0.17939232391641857,0.7719165680420426,-0.5236938844467738,0.34255187857678965,0.15917230401910068,20.0,51831.34278548595
USD,SMH,PB_RSI3_R5_H20_TS8,MAX,0.0870902706624399,0.5377250818823821,-0.39251622678592946,0.22187686704207826,0.13130488053910558,37.0,50667.89752565247
USD,SMH,PB_RSI3_R5_H20_TS8,3Y,0.28388699233181525,1.1209928121742276,-0.20089375091008377,1.413120074894105,0.1595744680851064,6.0,21079.37591920183
USD,SMH,PB_RSI3_R5_H20_TS8,5Y,0.3381146864196911,1.3492796893376866,-0.20089375091008366,1.6830522845433107,0.12749003984063745,8.0,42653.7184675345
USD,SMH,PB_RSI3_R5_H20_TS8,10Y,0.1740884901701849,0.8182523547114563,-0.3641069645581161,0.4781245818284758,0.14962196577795464,23.0,49553.25323689968
USD,SMH,PB_RSI3_R5_H20_TS12,MAX,0.07931514055877975,0.4929095639381195,-0.42778290209285363,0.1854097958818461,0.1360016336532571,34.0,44071.218646381916
USD,SMH,PB_RSI3_R5_H20_TS12,3Y,0.28388699233181525,1.1209928121742276,-0.20089375091008377,1.413120074894105,0.1595744680851064,6.0,21079.37591920183
USD,SMH,PB_RSI3_R5_H20_TS12,5Y,0.3381146864196911,1.3492796893376866,-0.20089375091008366,1.6830522845433107,0.12749003984063745,8.0,42653.7184675345
USD,SMH,PB_RSI3_R5_H20_TS12,10Y,0.17781853282077398,0.8239849524415227,-0.3366949501106705,0.5281294915837782,0.15360127337843216,21.0,51145.73645961189
USD,SMH,PB_RSI3_R5_H20_TS16,MAX,0.07287830347975688,0.4610629511004701,-0.4905766461908381,0.14855640611030363,0.1368184602818052,35.0,39234.947874521335
USD,SMH,PB_RSI3_R5_H20_TS16,3Y,0.28388699233181525,1.1209928121742276,-0.20089375091008377,1.413120074894105,0.1595744680851064,6.0,21079.37591920183
USD,SMH,PB_RSI3_R5_H20_TS16,5Y,0.3381146864196911,1.3492796893376866,-0.20089375091008366,1.6830522845433107,0.12749003984063745,8.0,42653.7184675345
USD,SMH,PB_RSI3_R5_H20_TS16,10Y,0.16416925004691207,0.7714834553435329,-0.40948446953256323,0.40091691446641525,0.15519299641862316,22.0,45533.12491987594
USD,SMH,PB_RSI3_R5_H30,MAX,0.1426180145255851,0.6634335109364068,-0.5427540207259987,0.2627673109354701,0.18991219113743107,31.0,133402.74915822526
USD,SMH,PB_RSI3_R5_H30,3Y,0.477038261188268,1.388391192417957,-0.2891688753346171,1.649687438304881,0.2393617021276596,6.0,32024.803849642183
USD,SMH,PB_RSI3_R5_H30,5Y,0.5217187247129005,1.573687368242271,-0.2891688753346172,1.8042008293914198,0.19123505976095617,8.0,80919.6838699284
USD,SMH,PB_RSI3_R5_H30,10Y,0.31293209421576473,1.0471476597252176,-0.5427540207259987,0.5765633827957285,0.2148826104257859,18.0,151056.0552545579
USD,SMH,PB_RSI3_R5_H30_TS8,MAX,0.13033185178522255,0.6795031100092416,-0.36323814204702476,0.358805523700619,0.17010414539513988,38.0,108125.22946865874
USD,SMH,PB_RSI3_R5_H30_TS8,3Y,0.42884018145806535,1.2996762934597912,-0.28116202838976245,1.525242166995549,0.22739361702127658,7.0,29006.2046306302
USD,SMH,PB_RSI3_R5_H30_TS8,5Y,0.4917670519229691,1.5197882053589649,-0.2811620283897629,1.7490521559378334,0.18406374501992032,9.0,73292.3430225248
USD,SMH,PB_RSI3_R5_H30_TS8,10Y,0.26651201710089056,1.037915530252726,-0.36323814204702487,0.7337115414118264,0.1945881416633506,23.0,105497.67536014986
USD,SMH,PB_RSI3_R5_H30_TS12,MAX,0.12511393051619146,0.6370380324345026,-0.46073404201172874,0.2715534757750904,0.18419440473759444,35.0,98827.55587415768
USD,SMH,PB_RSI3_R5_H30_TS12,3Y,0.477038261188268,1.388391192417957,-0.2891688753346171,1.649687438304881,0.2393617021276596,6.0,32024.803849642183
USD,SMH,PB_RSI3_R5_H30_TS12,5Y,0.5217187247129005,1.573687368242271,-0.2891688753346172,1.8042008293914198,0.19123505976095617,8.0,80919.6838699284
USD,SMH,PB_RSI3_R5_H30_TS12,10Y,0.29445031049875237,1.0860935550565765,-0.4143464505708596,0.7106379458375421,0.20732192598487864,20.0,131141.56354959882
USD,SMH,PB_RSI3_R5_H30_TS16,MAX,0.11700496260622928,0.5982618122354034,-0.5657833523124685,0.20680170621494404,0.1872575045946498,35.0,85868.2650406348
USD,SMH,PB_RSI3_R5_H30_TS16,3Y,0.477038261188268,1.388391192417957,-0.2891688753346171,1.649687438304881,0.2393617021276596,6.0,32024.803849642183
USD,SMH,PB_RSI3_R5_H30_TS16,5Y,0.5217187247129005,1.573687368242271,-0.2891688753346172,1.8042008293914198,0.19123505976095617,8.0,80919.6838699284
USD,SMH,PB_RSI3_R5_H30_TS16,10Y,0.2561912374295858,0.9661741892503263,-0.5657833523124683,0.452808016323707,0.20970951054516515,22.0,97231.2899879349
USD,SMH,PB_RSI3_R5_H40,MAX,0.1726076927146527,0.7196304468610824,-0.5434958812980301,0.3175878578921594,0.2368797222789463,29.0,220705.5957712442
USD,SMH,PB_RSI3_R5_H40,3Y,0.7495496061063172,1.8093795899865062,-0.22547541180249486,3.32430751590282,0.26595744680851063,5.0,53079.00951471137
USD,SMH,PB_RSI3_R5_H40,5Y,0.6610911024284887,1.756938275320665,-0.22853945217039118,2.892678249423657,0.22310756972111553,7.0,125197.13015573822
USD,SMH,PB_RSI3_R5_H40,10Y,0.3774907072980396,1.1408885375882294,-0.54349588129803,0.694560382677564,0.2546756864305611,16.0,243794.10663549448
USD,SMH,PB_RSI3_R5_H40_TS8,MAX,0.14961060408344617,0.6959380943977531,-0.44349991971969027,0.33734076925652223,0.2133959567081887,43.0,150194.85916391457
USD,SMH,PB_RSI3_R5_H40_TS8,3Y,0.6419902658532917,1.6409758365280773,-0.25663588119156133,2.5015608217858256,0.25398936170212766,8.0,43923.11717497686
USD,SMH,PB_RSI3_R5_H40_TS8,5Y,0.5991234763157631,1.6495936799401008,-0.25957664989378615,2.3080792381013975,0.21593625498007968,10.0,103601.1837462265
USD,SMH,PB_RSI3_R5_H40_TS8,10Y,0.3036696543255226,1.0678491408001671,-0.43489887041010256,0.6982534906084421,0.23358535614803025,26.0,140759.09515957325
USD,SMH,PB_RSI3_R5_H40_TS12,MAX,0.15380397854024364,0.6916754232628135,-0.4688198452984663,0.3280662712610361,0.23034510925056156,35.0,161206.73438788584
USD,SMH,PB_RSI3_R5_H40_TS12,3Y,0.7495496061063172,1.8093795899865062,-0.22547541180249486,3.32430751590282,0.26595744680851063,5.0,53079.00951471137
USD,SMH,PB_RSI3_R5_H40_TS12,5Y,0.6610911024284887,1.756938275320665,-0.22853945217039118,2.892678249423657,0.22310756972111553,7.0,125197.13015573822
USD,SMH,PB_RSI3_R5_H40_TS12,10Y,0.35810014975387094,1.1765180410809726,-0.4152966465198351,0.86227556315403,0.2471150019896538,18.0,211653.48369834217
USD,SMH,PB_RSI3_R5_H40_TS16,MAX,0.14632238884868287,0.6603319200877844,-0.5664878488531498,0.2582974888956778,0.234225035736165,33.0,142063.08875357942
USD,SMH,PB_RSI3_R5_H40_TS16,3Y,0.7495496061063172,1.8093795899865062,-0.22547541180249486,3.32430751590282,0.26595744680851063,5.0,53079.00951471137
USD,SMH,PB_RSI3_R5_H40_TS16,5Y,0.6610911024284887,1.756938275320665,-0.22853945217039118,2.892678249423657,0.22310756972111553,7.0,125197.13015573822
USD,SMH,PB_RSI3_R5_H40_TS16,10Y,0.3179598272994235,1.0670918441720882,-0.5664878488531497,0.5612826964305249,0.24950258654994031,20.0,156924.62933497722
USD,SMH,PB_RSI3_R5_H50,MAX,0.1930088540930146,0.7514014299918208,-0.5268994975272336,0.36631056776257154,0.2654686542781295,26.0,308589.466584798
USD,SMH,PB_RSI3_R5_H50,3Y,0.6540286659914012,1.4796339243452084,-0.25219053308424844,2.5933910285716872,0.3324468085106383,5.0,44891.090877498835
USD,SMH,PB_RSI3_R5_H50,5Y,0.6033260873008688,1.4726624258534515,-0.25219053308424866,2.392342329120329,0.2788844621513944,7.0,104964.24845487866
USD,SMH,PB_RSI3_R5_H50,10Y,0.41406441146647865,1.1346603298957392,-0.5268994975272338,0.7858508376069897,0.31834460803820136,16.0,316600.9568089499
USD,SMH,PB_RSI3_R5_H50_TS8,MAX,0.16520386337339477,0.7137873363493901,-0.4453682755260626,0.37093765418800506,0.24014702879313865,41.0,195145.19667915246
USD,SMH,PB_RSI3_R5_H50_TS8,3Y,0.5214376138944241,1.277405238257564,-0.3192480310903344,1.6333307119030538,0.31648936170212766,9.0,34984.00479184091
USD,SMH,PB_RSI3_R5_H50_TS8,5Y,0.5250266900680378,1.3440310983469694,-0.3192480310903342,1.6445729932144098,0.2693227091633466,11.0,81799.52189038998
USD,SMH,PB_RSI3_R5_H50_TS8,10Y,0.3206568211585299,1.0158984452439141,-0.4453682755260626,0.7199812801658911,0.29566255471547953,28.0,160156.47851439213
USD,SMH,PB_RSI3_R5_H50_TS12,MAX,0.18004650697017488,0.7437481156935535,-0.394039529992561,0.4569249866214538,0.2585256279354707,32.0,249564.3655922229
USD,SMH,PB_RSI3_R5_H50_TS12,3Y,0.6540286659914012,1.4796339243452084,-0.25219053308424844,2.5933910285716872,0.3324468085106383,5.0,44891.090877498835
USD,SMH,PB_RSI3_R5_H50_TS12,5Y,0.6033260873008688,1.4726624258534515,-0.25219053308424866,2.392342329120329,0.2788844621513944,7.0,104964.24845487866
USD,SMH,PB_RSI3_R5_H50_TS12,10Y,0.39415901595532765,1.1547827923196097,-0.3940395299925614,1.0003032334414987,0.31078392359729407,18.0,274861.8347490697
USD,SMH,PB_RSI3_R5_H50_TS16,MAX,0.1662662355348583,0.6952028991670172,-0.5507273469540779,0.30190299511079544,0.26281396773534815,30.0,198631.9043097303
USD,SMH,PB_RSI3_R5_H50_TS16,3Y,0.6540286659914012,1.4796339243452084,-0.25219053308424844,2.5933910285716872,0.3324468085106383,5.0,44891.090877498835
USD,SMH,PB_RSI3_R5_H50_TS16,5Y,0.6033260873008688,1.4726624258534515,-0.25219053308424866,2.392342329120329,0.2788844621513944,7.0,104964.24845487866
