product,signal,strategy,start,end,years,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
USD,SMH,PB_RSI5_R10_H40,2007-02-01,2010-02-01,3,0.2297690998384072,1.1715035403018983,-0.17385272020986842,1.3216307433155987,0.21164021164021163,4.0,18598.19210156193
USD,SMH,PB_RSI5_R10_H40,2007-05-01,2010-05-01,3,0.1938489077207357,1.0736699155840703,-0.17385272020986853,1.1150179731828673,0.16512549537648613,3.5,17027.600563414475
USD,SMH,PB_RSI5_R10_H40,2007-08-01,2010-08-01,3,0.08145483036469403,0.4613059745525158,-0.2613659013745906,0.31165056320010415,0.164021164021164,3.5,12648.096030530356
USD,SMH,PB_RSI5_R10_H40,2007-11-01,2010-11-01,3,0.05708237966468377,0.37218084761880554,-0.2613659013745909,0.21840025559750817,0.10582010582010581,2.0,11812.083303142275
USD,SMH,PB_RSI5_R10_H40,2008-02-01,2011-02-01,3,0.12265812782185659,0.645712540359278,-0.2613659013745909,0.46929659598580287,0.15852047556142668,3.0,14156.046145783523
USD,SMH,PB_RSI5_R10_H40,2008-05-01,2011-05-01,3,0.16761097826236893,0.8040088885648068,-0.2613659013745909,0.6412886202096731,0.18121693121693122,3.5,15918.220238561773
USD,SMH,PB_RSI5_R10_H40,2008-08-01,2011-08-01,3,0.11939875528737831,0.6008661968730689,-0.2613659013745909,0.4568260613164508,0.21164021164021163,4.0,14026.66610304002
USD,SMH,PB_RSI5_R10_H40,2008-11-01,2011-11-01,3,0.11939875528737831,0.6008661968730687,-0.2613659013745909,0.4568260613164508,0.21164021164021163,4.0,14026.66610304002
USD,SMH,PB_RSI5_R10_H40,2009-02-01,2012-02-01,3,0.1192319791972134,0.6004686241813988,-0.2613659013745909,0.45618796702301856,0.21136063408190225,4.0,14026.66610304002
USD,SMH,PB_RSI5_R10_H40,2009-05-01,2012-05-01,3,0.11329602938752648,0.5635338035990546,-0.2613659013745909,0.4334767037003424,0.25891677675033026,4.5,13804.381193377014
USD,SMH,PB_RSI5_R10_H40,2009-08-01,2012-08-01,3,-0.024156458601468866,0.008148003146822012,-0.2613659013745907,-0.09242391021332094,0.24570673712021135,4.5,9291.769637783282
USD,SMH,PB_RSI5_R10_H40,2009-11-01,2012-11-01,3,-0.04612628647098205,-0.11690843614410222,-0.2606265279024934,-0.17698231581490811,0.21164021164021163,4.0,8679.059036284696
USD,SMH,PB_RSI5_R10_H40,2010-02-01,2013-02-01,3,-0.019797397926724747,0.01436665302944858,-0.2606265279024934,-0.07596079373060376,0.2404227212681638,4.5,9417.011316100408
USD,SMH,PB_RSI5_R10_H40,2010-05-01,2013-05-01,3,0.0006136608535451948,0.1174309827963169,-0.2606265279024934,0.0023545602148940877,0.2860927152317881,5.5,10018.396736339178
USD,SMH,PB_RSI5_R10_H40,2010-08-01,2013-08-01,3,0.1145766154727812,0.6799706432411728,-0.2216464344371647,0.5169341693392452,0.294973544973545,5.5,13846.173878437135
USD,SMH,PB_RSI5_R10_H40,2010-11-01,2013-11-01,3,0.08124088870415247,0.5109786057242235,-0.2216464344371647,0.36653370450307754,0.31704095112285335,6.0,12644.509742746843
USD,SMH,PB_RSI5_R10_H40,2011-02-01,2014-02-01,3,0.018057849142316007,0.18964207186595733,-0.22164643443716425,0.08147141725140326,0.26490066225165565,5.0,10550.827601901203
USD,SMH,PB_RSI5_R10_H40,2011-05-01,2014-05-01,3,-0.021038119637041386,-0.04644485824423479,-0.2216464344371647,-0.09491747381573852,0.2423841059602649,4.5,9382.833015898417
USD,SMH,PB_RSI5_R10_H40,2011-08-01,2014-08-01,3,0.021154242100438925,0.21382796338114168,-0.17445507994688325,0.12125896309170135,0.21164021164021163,4.0,10648.146987426264
