product,signal,strategy,years,windows,positive_pct,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_maxdd,worst_maxdd
SOXL,SMH,HYB_F40_L5_B35,3,54,0.9444444444444444,0.35944380897165484,-0.13030419354959388,1.008870528663242,-0.1801372084060802,-0.3775405705462228,-0.5750706012123108
SOXL,SMH,HYB_F40_L5_B35,5,46,0.9347826086956522,0.36109627218083773,-0.03645751487581228,0.9699535628318483,0.05974741693312024,-0.37754057054622336,-0.5750706012123108
SOXL,SMH,PB_RSI5_R10_H30,3,54,0.8703703703703703,0.3165473665977381,-0.16265758312993428,1.128238770223366,-0.2799404546935658,-0.2781282068513346,-0.6204456556552898
SOXL,SMH,PB_RSI5_R10_H30,5,46,0.8478260869565217,0.3555362869486336,-0.10211974615292774,1.1865483903308223,-0.13467780623265568,-0.2850916446852931,-0.6204456556552898
SOXL,SMH,PB_RSI5_R10_H30_TS12,3,54,0.7777777777777778,0.3165473665977381,-0.21165601424012015,1.128238770223366,-0.4304161220376451,-0.2781282068513346,-0.650643490867665
SOXL,SMH,PB_RSI5_R10_H30_TS12,5,46,0.8043478260869565,0.3555362869486336,-0.15087937826961528,1.1865483903308223,-0.34672576859768156,-0.2850916446852931,-0.650643490867665
SOXL,SMH,PB_RSI5_R10_H30_TS16,3,54,0.8703703703703703,0.3165473665977381,-0.16265758312993428,1.128238770223366,-0.2799404546935658,-0.2781282068513346,-0.6204456556552898
SOXL,SMH,PB_RSI5_R10_H30_TS16,5,46,0.8478260869565217,0.3555362869486336,-0.10211974615292774,1.1865483903308223,-0.13467780623265568,-0.2850916446852931,-0.6204456556552898
SOXL,SMH,PB_RSI5_R10_H40,3,54,0.9444444444444444,0.2822686627054346,-0.07153985597251578,0.887601677510319,-0.08022269219532001,-0.35905934890879576,-0.5368917822906196
SOXL,SMH,PB_RSI5_R10_H40,5,46,0.9347826086956522,0.30073461755785635,-0.03377843501206634,0.9280604465590869,0.0488852367920043,-0.37666259587724754,-0.5368917822906196
SOXL,SMH,PB_RSI5_R10_H40_TS12,3,54,0.8888888888888888,0.25534005411913707,-0.10143028180879599,0.811973701867075,-0.20883703548379426,-0.41844749975130985,-0.5223279082034357
SOXL,SMH,PB_RSI5_R10_H40_TS12,5,46,0.9130434782608695,0.26263683855402453,-0.05260350536581326,0.8367560770275813,-0.022612300012473708,-0.4189952087373422,-0.5223279082034357
SOXL,SMH,PB_RSI5_R10_H40_TS16,3,54,0.9444444444444444,0.2822686627054346,-0.07153985597251578,0.887601677510319,-0.08022269219532001,-0.35905934890879576,-0.5368917822906196
SOXL,SMH,PB_RSI5_R10_H40_TS16,5,46,0.9347826086956522,0.30073461755785635,-0.03377843501206634,0.9280604465590869,0.0488852367920043,-0.37666259587724754,-0.5368917822906196
SOXL,SMH,PB_RSI5_R10_H40_TS8,3,54,0.7962962962962963,0.2705012487316568,-0.16815635156279274,0.9034433390640091,-0.39500155871222203,-0.3676102172945449,-0.5371135835750336
SOXL,SMH,PB_RSI5_R10_H40_TS8,5,46,0.8260869565217391,0.28504327450724964,-0.13109176300530478,0.906637776069561,-0.25440258784944214,-0.4173618979884175,-0.5985766379371126
SOXL,SMH,PB_RSI5_R15_H40,3,54,0.7962962962962963,0.13141029979432117,-0.17071313815972256,0.5379480257342655,-0.4222942376997809,-0.4010037293161264,-0.5470405341157694
SOXL,SMH,PB_RSI5_R15_H40,5,46,0.8043478260869565,0.12173666988402831,-0.1374815997906832,0.503986324991689,-0.3319979510106775,-0.504902720389609,-0.5961697464269553
SOXL,SMH,PB_RSI5_R15_H40_TS16,3,54,0.7962962962962963,0.13141029979432117,-0.17071313815972256,0.5379480257342655,-0.4222942376997809,-0.4010037293161264,-0.5470405341157694
SOXL,SMH,PB_RSI5_R15_H40_TS16,5,46,0.8043478260869565,0.12173666988402831,-0.1374815997906832,0.503986324991689,-0.3319979510106775,-0.504902720389609,-0.5961697464269553
USD,SMH,PB_RSI5_R10_H30,3,66,0.8181818181818182,0.1760153261761077,-0.10969445569819569,0.9830414996367891,-0.3524906471608733,-0.1917433898420684,-0.3713965379750904
USD,SMH,PB_RSI5_R10_H30,5,58,0.8103448275862069,0.11303772245126142,-0.058422738364932614,0.6244460527714897,-0.16699740274294822,-0.3051193491277767,-0.3748752173651444
USD,SMH,PB_RSI5_R10_H30_TS12,3,66,0.7575757575757576,0.1760153261761077,-0.14425896655310555,0.9830414996367891,-0.5295394421286941,-0.1917433898420684,-0.4022181435424248
USD,SMH,PB_RSI5_R10_H30_TS12,5,58,0.7586206896551724,0.10581697140444035,-0.0865995663229071,0.5985110451105853,-0.34870562518447795,-0.3161960558476143,-0.41900949150299005
USD,SMH,PB_RSI5_R10_H30_TS16,3,66,0.8181818181818182,0.1760153261761077,-0.10969445569819569,0.9830414996367891,-0.3524906471608733,-0.1917433898420684,-0.3713965379750904
USD,SMH,PB_RSI5_R10_H30_TS16,5,58,0.8103448275862069,0.11303772245126142,-0.058422738364932614,0.6244460527714897,-0.16699740274294822,-0.3051193491277767,-0.3748752173651444
USD,SMH,PB_RSI5_R10_H40,3,66,0.8939393939393939,0.1260170367884469,-0.04612628647098205,0.6628415918002255,-0.11690843614410222,-0.25485309777918996,-0.36397135313399276
USD,SMH,PB_RSI5_R10_H40,5,58,0.9137931034482759,0.113326481749363,-0.029115141870657224,0.5838362376604777,-0.04772303837826797,-0.2613659013745907,-0.36397135313399276
USD,SMH,PB_RSI5_R10_H40_TS12,3,66,0.8484848484848485,0.12102844155461745,-0.048047141911510605,0.6534700469828854,-0.1384630763471273,-0.2613659013745909,-0.3478828607009037
USD,SMH,PB_RSI5_R10_H40_TS12,5,58,0.9137931034482759,0.10471264023466775,-0.03547638289694133,0.5590334349461088,-0.08524613460822314,-0.29848798468414445,-0.3478828607009037
USD,SMH,PB_RSI5_R10_H40_TS16,3,66,0.8939393939393939,0.1260170367884469,-0.04612628647098205,0.6628415918002255,-0.11690843614410222,-0.25485309777918996,-0.36397135313399276
USD,SMH,PB_RSI5_R10_H40_TS16,5,58,0.9137931034482759,0.113326481749363,-0.029115141870657224,0.5838362376604777,-0.04772303837826797,-0.2613659013745907,-0.36397135313399276
USD,SMH,PB_RSI5_R10_H40_TS8,3,66,0.7575757575757576,0.1299619759649282,-0.12759732472305763,0.7081022712571714,-0.6229073078224668,-0.28483806283522195,-0.38314473117454384
USD,SMH,PB_RSI5_R10_H40_TS8,5,58,0.8620689655172413,0.06565233256066194,-0.10639881273524154,0.3994223710782292,-0.45288683125469403,-0.31391202129861784,-0.42995051234016024
USD,SMH,PB_RSI5_R10_H50,3,66,0.8939393939393939,0.16975888212665158,-0.060799985290589165,0.7916656612958035,-0.15328878114882807,-0.286893624462204,-0.4204959861670279
USD,SMH,PB_RSI5_R10_H50,5,58,1.0,0.16076002688149815,0.020460238336914127,0.6717131578966201,0.20348594634168926,-0.37720139301869193,-0.4204959861670281
USD,SMH,PB_RSI5_R10_H50_TS12,3,66,0.8939393939393939,0.15318218613057932,-0.061161097953982835,0.73186017075458,-0.15754491382232155,-0.27583203251867894,-0.41853833869463575
USD,SMH,PB_RSI5_R10_H50_TS12,5,58,1.0,0.1342809479646937,0.013540104110470796,0.6195092779770024,0.17367021654999945,-0.34469486558255746,-0.4185383386946363
USD,SMH,PB_RSI5_R10_H50_TS16,3,66,0.8787878787878788,0.16975888212665158,-0.060799985290589165,0.7698673002706067,-0.1828932440685763,-0.286893624462204,-0.4634026218158481
USD,SMH,PB_RSI5_R10_H50_TS16,5,58,1.0,0.13622707060950257,0.020460238336914127,0.6134927318137485,0.20348594634168926,-0.37720139301869204,-0.46340262181584824
