,Open,High,Low,Close,Volume
2026-05-26,110.54,112.5,107.34,108.6,65093700
2026-05-27,124.86,141.9,124.84,132.5,94968700
2026-05-28,134.44,137.4,121.3,133.56,69993800
2026-05-29,142.0,142.0,135.6,137.66,51920000
2026-06-01,141.8,148.66,141.1,144.3,52006600
2026-06-02,136.76,142.56,129.8,139.06,85226500
2026-06-03,144.6,147.96,142.2,146.2,27986500
2026-06-04,131.94,136.4,130.3,132.5,62684800
2026-06-05,112.66,123.0,104.5,106.9,129564300
2026-06-08,95.66,106.7,85.7,98.6,203961900
2026-06-09,99.94,119.6,99.94,113.76,114007700
2026-06-10,110.0,110.0,93.96,98.34,121686500
2026-06-11,106.66,107.66,96.6,106.0,85390400
2026-06-12,121.86,122.0,98.2,106.54,130340300
2026-06-15,122.0,123.4,117.54,121.2,65922100
2026-06-16,123.0,130.6,123.0,128.44,57206200
2026-06-17,130.2,145.4,129.5,144.8,64425200
2026-06-18,152.8,169.46,152.1,161.0,80667800
2026-06-22,185.16,191.5,180.8,187.66,75236300
2026-06-23,179.0,179.2,134.84,143.8,168994800
2026-06-24,149.56,157.4,130.0,154.0,158019100
2026-06-25,167.3,193.66,165.2,182.4,108141900
2026-06-26,169.1,169.1,144.4,157.0,153194600
2026-06-29,141.1,154.1,136.6,146.8,94701000
2026-06-30,142.4,159.2,142.1,149.0,64956700
2026-07-02,126.66,128.06,103.44,109.6,174926100
2026-07-03,102.5,122.96,102.5,116.8,193468200
2026-07-06,118.46,118.76,103.0,108.7,90018800
2026-07-07,95.0,98.76,82.0,91.7,196132100
2026-07-08,100.0,101.0,80.3,82.74,174034800
2026-07-09,95.14,97.22,82.66,96.0,193231300
2026-07-10,93.0,98.86,89.32,89.4,108537700
2026-07-13,76.0,76.0,58.78,59.9,304868000
2026-07-14,63.18,66.18,48.72,65.2,406232500
2026-07-15,77.64,81.5,71.5,71.78,210093400
2026-07-16,61.0,61.68,55.1,56.48,192506400
2026-07-17,49.04,50.0,44.8,44.8,169360300
2026-07-20,51.52,56.92,50.44,52.58,187670600
2026-07-21,55.04,60.0,54.14,57.8,171711500
