,Open,High,Low,Close,Volume
2026-05-26,57.16,61.32,57.05,60.51,35405303
2026-05-27,62.44,62.67,59.05,60.73,30640720
2026-05-28,61.03,63.64,59.91,62.57,24506149
2026-05-29,63.45,64.29,62.16,63.2,20466454
2026-06-01,65.74,68.76,65.46,68.0,27923479
2026-06-02,68.15,70.15,67.05,69.57,31442064
2026-06-03,69.74,70.02,67.5,69.71,19326549
2026-06-04,64.72,67.12,63.18,65.7,33093483
2026-06-05,60.82,61.17,55.38,55.79,60479917
2026-06-08,60.73,61.61,58.95,60.52,31845270
2026-06-09,63.62,63.63,55.45,59.86,56177033
2026-06-10,58.11,61.25,57.06,57.37,29444685
2026-06-11,59.61,65.15,59.16,65.12,35470689
2026-06-12,63.77,66.17,62.9,65.01,23592697
2026-06-15,69.64,71.18,68.76,71.07,27592391
2026-06-16,71.72,72.61,67.6,68.12,33090526
2026-06-17,71.75,73.14,69.72,69.95,30461518
2026-06-18,75.24,77.7,75.0,76.71,37787873
2026-06-22,80.67,81.34,79.07,80.72,38827717
2026-06-23,69.52,73.07,68.59,69.22,58172823
2026-06-24,71.67,71.79,67.13,69.93,38470533
2026-06-25,79.17,79.6,73.5,76.89,68866988
2026-06-26,72.26,74.77,71.33,71.88,33712903
2026-06-29,70.84,72.0,66.47,71.94,45405951
2026-06-30,72.1,74.16,71.78,73.85,24265297
2026-07-01,67.66,68.69,65.8,65.86,44489019
2026-07-02,64.45,65.75,58.89,60.63,71904675
2026-07-06,65.32,65.94,64.26,64.76,28250566
2026-07-07,60.09,61.24,58.2,60.59,57121938
2026-07-08,58.39,62.02,58.39,62.04,49226795
2026-07-09,65.0,66.1,64.15,64.36,48332021
2026-07-10,61.91,63.67,61.25,63.04,47309267
2026-07-13,57.5,58.51,56.31,57.3,54554258
2026-07-14,60.68,61.66,59.02,61.23,53979517
2026-07-15,60.63,60.69,55.0,57.4,70597306
2026-07-16,54.31,54.75,51.9,52.34,75396962
2026-07-17,49.83,55.4,48.63,52.72,107143257
2026-07-20,54.25,55.2,52.92,53.06,32711626
2026-07-21,57.05,59.35,56.45,58.85,50121720
