,Open,High,Low,Close,Volume
2026-05-29,25.02,25.02,23.81,24.48,128231
2026-06-01,24.29,25.1,23.85,24.77,1104260
2026-06-02,25.79,27.38,25.75,27.44,3025282
2026-06-03,27.76,27.86,26.6,26.85,3288826
2026-06-04,25.51,26.83,24.54,26.53,2113118
2026-06-05,25.46,25.96,23.54,23.7,1649092
2026-06-08,24.62,25.0,23.66,24.38,832734
2026-06-09,24.91,24.91,21.62,22.72,1532309
2026-06-10,22.9,23.87,22.5,22.82,842557
2026-06-11,23.01,23.85,22.82,23.83,697676
2026-06-12,24.02,24.74,23.56,24.41,650588
2026-06-15,25.49,25.91,25.02,25.54,827401
2026-06-16,25.68,25.68,23.77,23.79,689331
2026-06-17,24.14,24.25,23.43,23.52,537324
2026-06-18,24.36,24.39,23.36,23.65,793082
2026-06-22,23.91,25.17,23.41,24.84,1802172
2026-06-23,23.39,23.82,22.98,23.18,973117
2026-06-24,23.3,23.54,22.4,22.96,535035
2026-06-25,23.86,23.91,22.25,23.34,621747
2026-06-26,22.74,22.74,21.81,22.36,576117
2026-06-29,22.5,22.95,21.57,22.93,340300
2026-06-30,23.0,23.57,22.8,23.48,308687
2026-07-01,23.01,23.26,22.37,22.74,416149
2026-07-02,22.73,22.73,20.4,20.84,700164
2026-07-06,21.05,21.72,20.81,21.0,333322
2026-07-07,20.33,20.48,19.2,19.61,453558
2026-07-08,19.2,20.0,19.2,19.97,136769
2026-07-09,20.88,21.76,20.84,21.5,268937
2026-07-10,21.4,21.64,20.82,21.34,145177
2026-07-13,20.98,21.15,20.3,20.42,220588
2026-07-14,21.11,21.41,20.81,21.15,183575
2026-07-15,21.15,21.27,19.49,20.22,342938
2026-07-16,19.5,19.79,18.91,19.09,365070
2026-07-17,18.48,19.79,17.99,19.37,367084
2026-07-20,19.68,20.13,19.38,19.44,164876
2026-07-21,20.17,21.27,20.17,21.2,361065
