ticker,status,start,end,rows
AAPL,ok,1980-12-12,2026-07-17,11490
AAPU,ok,2022-08-09,2026-07-17,988
AMD,ok,1980-03-17,2026-07-17,11678
AMUU,ok,2025-04-03,2026-07-17,323
AMZN,ok,1997-05-15,2026-07-17,7338
AMZU,ok,2022-09-07,2026-07-17,968
FBL,ok,2022-12-13,2026-07-17,900
GGLL,ok,2022-09-07,2026-07-17,968
GOOGL,ok,2004-08-19,2026-07-17,5512
META,ok,2012-05-18,2026-07-17,3560
METU,ok,2024-06-06,2026-07-17,529
MSFT,ok,1986-03-13,2026-07-17,10164
MSFU,ok,2022-09-07,2026-07-17,968
MU,ok,1984-06-01,2026-07-17,10613
MULL,ok,2024-11-12,2026-07-17,419
MUU,ok,2024-10-10,2026-07-17,442
NVDA,ok,1999-01-22,2026-07-17,6913
NVDL,ok,2022-12-13,2026-07-17,900
NVDU,ok,2023-09-13,2026-07-17,713
QLD,ok,2006-06-21,2026-07-17,5049
QQQ,ok,1999-03-10,2026-07-17,6881
SOXL,ok,2010-03-11,2026-07-17,4113
SOXX,ok,2001-07-13,2026-07-17,6289
SPXL,ok,2008-11-05,2026-07-17,4450
SPY,ok,1993-01-29,2026-07-17,8423
SSO,ok,2006-06-21,2026-07-17,5049
TQQQ,ok,2010-02-11,2026-07-17,4132
TSLA,ok,2010-06-29,2026-07-17,4037
TSLL,ok,2022-08-09,2026-07-17,988
USD,ok,2007-02-01,2026-07-17,4895
