universe,leverage,heldout_asset,selected_strategy,family,heldout_cagr,heldout_late_cagr,heldout_sharpe,heldout_maxdd,heldout_calmar
index,2,QQQ,PRICE_SMA200_H2,price_hysteresis,0.09479892099221576,0.19113231081649928,0.4374620578318038,-0.7861228444761166,0.12059046707310879
index,2,SOXX,RSI2_15_REC3_XR70_T20,pullback_reclaim,0.03640351187904978,0.031081158249396834,0.27959424996298,-0.46308725517561977,0.07861048101020232
index,2,SPY,MA_50_200,ma_crossover,0.13267013295720242,0.12956357176289623,0.5992653432639737,-0.5588019953373733,0.2374188604625573
index,3,QQQ,PRICE_SMA200_H2,price_hysteresis,0.08450304363342753,0.22938827398414063,0.41903067499522745,-0.9238503035630349,0.09146832913029598
index,3,SOXX,RSI2_15_REC3_XR70_T20,pullback_reclaim,0.047227249443362984,0.031033677509896496,0.30523081592900875,-0.63081999972401,0.07486644282683709
index,3,SPY,MA_50_200,ma_crossover,0.15968263799173354,0.15065496226378472,0.5725146680359421,-0.7263247026921494,0.21985020941717104
stock,2,AAPL,MA_10_30,ma_crossover,0.16820623580953153,0.2103553516805916,0.5570996649021585,-0.9209977513047787,0.18263479533064392
stock,2,AMD,MHT_VOL_E5_VR80,volatility_managed_trend,0.09475597457772622,0.2948652337928912,0.4773164479911347,-0.9813123182858176,0.0965604658293177
stock,2,AMZN,MA_10_30,ma_crossover,0.06838448216619697,0.19350814683639217,0.4935405440088749,-0.9995377363691818,0.06841610844489317
stock,2,GOOGL,MHT_VOL_E5_VR80,volatility_managed_trend,0.08611923993598003,0.11646777278363918,0.40667550114692613,-0.7648333272186607,0.11259870205859782
stock,2,META,BRK126_F200_XMA50,breakout,0.0006322797808753222,0.20263352787974864,0.20398903299454374,-0.8893307880332364,0.0007109613086415405
stock,2,MSFT,BRK126_F200_XMA50,breakout,0.09313369119214832,0.045434559697266286,0.43236147713354683,-0.8575654718715466,0.10860242657495738
stock,2,MU,MA_10_30,ma_crossover,0.027506391726447088,0.06829018466620962,0.45650587414902816,-0.9997059046851847,0.02751448360716552
stock,2,NVDA,MA_10_30,ma_crossover,0.2629046202510128,0.6705779870998643,0.6914622801095373,-0.9587179690907269,0.274225193150764
stock,2,TSLA,MHT_VOL_E5_VR80,volatility_managed_trend,0.2111356556261137,0.21862574844169402,0.6222199713457934,-0.8943353683179591,0.23608107551780236
