universe,leverage,asset,selected_strategy,family,early_cagr,early_sharpe,late_cagr,late_sharpe,late_maxdd,late_calmar
index,2,QQQ,RSI2_15_REC3_XR70_T10,pullback_reclaim,0.10773350545669724,0.8063446194280124,0.05835668616300649,0.41622633220394945,-0.3127244516481049,0.18660736586300805
index,2,SOXX,RSI2_10_REC5_XR70_T20,pullback_reclaim,0.04781647163704217,0.4478103800331695,0.01130610364831619,0.14983770602933486,-0.3359215713208532,0.033656974167691193
index,2,SPY,RSI2_15_REC3_XR70_T20,pullback_reclaim,0.06714004326135026,0.6724503022383945,0.036372576855970395,0.38016359351197654,-0.163945260724635,0.22185805612924878
index,3,QQQ,RSI2_15_REC3_XR70_T10,pullback_reclaim,0.16719931303814395,0.8437282073720784,0.08554900565803503,0.45017029419571897,-0.4495292117711355,0.19030800094386252
index,3,SOXX,RSI2_10_REC5_XR70_T20,pullback_reclaim,0.07184822993725626,0.4734943598870324,0.014686503861925493,0.17592048435604551,-0.4664625587478449,0.031484850362587316
index,3,SPY,RSI2_15_REC3_XR70_T20,pullback_reclaim,0.10686383068804561,0.7223763018831196,0.060559602870561946,0.4385793222023317,-0.23060714409489813,0.2626093962017101
stock,2,AAPL,BRK50_F200_XMA50,breakout,0.2374941659163956,0.6578515436492904,0.19516931052035558,0.6858210018875305,-0.5392422644233361,0.36193251789910974
stock,2,AMD,PRICE_SMA50_H1,price_hysteresis,0.16055422952579046,0.5900061173791392,0.15574558627989576,0.5876767365778057,-0.9571503297029805,0.16271799888344204
stock,2,AMZN,TSMOM_E4_X1,time_series_momentum,0.23350232263089188,0.6847174857022205,0.049784245849687325,0.339438017421883,-0.8641285325402775,0.057612084284888315
stock,2,GOOGL,MA_10_20,ma_crossover,0.3154887980566903,0.8285666664334594,0.07373845429347736,0.38289543012825417,-0.674811277780377,0.10927270589789426
stock,2,META,TSMOM_E3_X0,time_series_momentum,0.4234992534138555,0.8714244114263036,0.31009851297806823,0.7423948411042403,-0.7419631013101831,0.41794330800343843
stock,2,MSFT,MA_10_20,ma_crossover,0.2633698370163686,0.7047748912166052,0.06006193603290266,0.3435635843330799,-0.6412326456991317,0.09366637278334064
stock,2,MU,RSI2_15_REC5_XR70_T20,pullback_reclaim,0.09563159760330131,0.4439298520172722,0.025150675384751464,0.23842204140394324,-0.7023907184119633,0.03580724335540008
stock,2,NVDA,DD50_5_REC5_T10,drawdown_reclaim,0.2851234270837293,0.7870823197143891,0.05035788456018109,0.3172983173433501,-0.5858261462792973,0.08596045922500113
stock,2,TSLA,BRK20_F100_XMA10,breakout,0.38358340012568415,0.8202601635244542,0.5930829157784743,1.009154950324847,-0.5211255902008226,1.1380805835113987
