asset,universe,leverage,strategy,family,cagr,sharpe,vol,maxdd,calmar,total_return,exposure,trades,worst_day,early_cagr,early_sharpe,early_maxdd,early_calmar,early_trades,late_cagr,late_sharpe,late_maxdd,late_calmar,late_trades,stress_cagr,stress_sharpe,stress_maxdd,stress_calmar,rolling3_median_cagr,rolling3_worst_cagr,rolling3_windows,rolling5_median_cagr,rolling5_worst_cagr,rolling5_windows,data_start,data_end,annual_drag
SPY,index,2,MA_5_20,ma_crossover,0.02790428873810491,0.2351982429030149,0.22760336235748252,-0.7862812673995978,0.035488940020649895,1.5116589117827548,0.6420515255847086,254.0,-0.11630902180365466,-0.009559041897754916,0.08044060610310738,-0.7862812673995978,-0.012157280472125115,158.0,0.08668420399686827,0.5058542384666628,-0.5035250532153697,0.17215469904293196,96.0,-0.023214984833948793,0.011600976912288705,-0.9149626606486932,-0.0253726035306072,0.015531147601836937,-0.24835371489822322,366.0,-0.014062562580874904,-0.17375260008894977,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,MA_10_20,ma_crossover,0.049885096520462247,0.3267498434816996,0.231764746854908,-0.7251634721979736,0.06879151864787164,4.098544276886279,0.637421346313665,210.0,-0.1328845754433231,0.049328550202792254,0.32039137216808083,-0.7251634721979736,0.06802404160440846,131.0,0.0507296137926625,0.3389041910116493,-0.39830184710135264,0.1273647465153576,79.0,0.0031226296066466652,0.13022989249150219,-0.8180854010067654,0.0038169971042190027,0.03177288020031277,-0.25013285722084655,366.0,0.029086400545234925,-0.15291309165955902,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,MA_10_30,ma_crossover,0.06704186588286154,0.39886081742058993,0.22919920762367565,-0.615285616319764,0.10896056092431045,7.770176732200987,0.6574854564881871,140.0,-0.18698748441356405,0.04833165674559603,0.31749898637356755,-0.615285616319764,0.07855157907750937,89.0,0.09570413548755496,0.5399853142901353,-0.3466949589034122,0.27604709278226847,51.0,0.0274756885341787,0.23383230996595752,-0.7237764405489631,0.03796156795783405,0.04775021239736865,-0.23209876335747714,366.0,0.040570583298336294,-0.159085708352805,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,MA_20_50,ma_crossover,0.0666577211092172,0.39033657445186126,0.23919038023346595,-0.6359611665336287,0.1048141374300288,7.665140697046867,0.6781431793897661,88.0,-0.18598748441356405,0.03832853661714908,0.27656103694439,-0.6359611665336287,0.06026867462059466,56.0,0.11055167231572072,0.5756655289663248,-0.5083078072413093,0.21748962093599802,32.0,0.03291339497435697,0.25578441483551784,-0.7403656533304208,0.044455594105832885,0.049643438054919664,-0.256175680309652,366.0,0.055511427605965946,-0.1449599460538542,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,MA_50_200,ma_crossover,0.13267013295720242,0.5992653432639737,0.26917976411032785,-0.5588019953373733,0.2374188604625573,63.62644593007754,0.7516324349994064,16.0,-0.18598748441356405,0.13476847058344332,0.6129348390359708,-0.3704181227823098,0.3638279616860029,10.0,0.12956357176289623,0.5803791981950034,-0.5588019953373733,0.23185953673031004,6.0,0.10373289663972574,0.5029785043703838,-0.5601392499377074,0.1851912656562842,0.12732976249674,-0.06901398969381212,366.0,0.1218303223352466,-0.05407284964288983,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,PRICE_SMA20_H0,price_hysteresis,0.009686881643990564,0.1557254983060261,0.2246750742438997,-0.7687307453490126,0.012601137267630173,0.38068900459439514,0.6452570343108156,494.0,-0.11730902180365466,-0.016074102843199656,0.052590324898970996,-0.7687307453490126,-0.020909925797103154,308.0,0.049536803421682984,0.34294435887208186,-0.4432265500449899,0.11176407057892793,186.0,-0.06820528948190951,-0.19658460423838217,-0.9501474195922542,-0.07178390224032719,0.021697784673243792,-0.2669685825725545,366.0,-0.005769730626746239,-0.1718455178355901,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,PRICE_SMA20_H1,price_hysteresis,0.029534089921226414,0.2425265813873967,0.22458058059817873,-0.8332020274673677,0.035446493104438724,1.648404485362469,0.6418140804938858,202.0,-0.11730902180365466,-0.014184456273164336,0.06110311588148958,-0.8332020274673677,-0.017024029953791573,128.0,0.09866838730704997,0.5746101603528618,-0.4073627069474125,0.24221261697327467,74.0,-0.01570996481142184,0.04342410518760831,-0.8995210628463244,-0.017464810397781375,0.03837491617538891,-0.26349536131223594,366.0,0.019984959655756418,-0.2190980276204385,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,PRICE_SMA20_H2,price_hysteresis,0.0641074723731403,0.3864995830844871,0.22903638975341517,-0.655265133067232,0.09783440189020814,6.998138052300528,0.6540425026712573,116.0,-0.11630902180365466,0.030135186120714863,0.24403345767141693,-0.655265133067232,0.045989302039702626,73.0,0.11710705974505786,0.6370609687506003,-0.38959296344590577,0.3005882311355399,43.0,0.02754036665004045,0.233659220294627,-0.7520215163619148,0.0366217801629847,0.07355835338358796,-0.23476378870021664,366.0,0.056993437651378986,-0.15336300260649738,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,PRICE_SMA20_H3,price_hysteresis,0.020675031294374868,0.20484493335898252,0.22893319550870125,-0.7251548502998566,0.028511194934193157,0.9833224419908362,0.5930191143298112,70.0,-0.18698748441356405,-0.02235709326634594,0.030777823478263532,-0.7251548502998566,-0.03083078497937527,45.0,0.08869491728976175,0.5209629264082503,-0.43495188910718685,0.20391891496740763,25.0,-0.006948595355832032,0.0853623220972839,-0.828187581275873,-0.008390122615853889,0.00695163963014922,-0.2511151250217807,366.0,0.018961873787169847,-0.16679991756974,342.0,1993-01-29,2026-07-17,0.05
SPY,index,2,PRICE_SMA50_H0,price_hysteresis,0.03555908881645986,0.26878627862022075,0.22363450794530115,-0.7402055184781937,0.04803948083171096,2.21945366377194,0.6863350350231509,292.0,-0.10549282838265672,0.01824258235552434,0.1941295156504021,-0.7402055184781937,0.024645293638217804,177.0,0.06205306799107402,0.3899268090366419,-0.4402749399099687,0.14094163070867302,115.0,-0.021999674506887446,0.014477514873335422,-0.8647700138963249,-0.025439913680361415,0.04039768442807656,-0.28311506500773054,366.0,0.02211607797452053,-0.16698408008556886,342.0,1993-01-29,2026-07-17,0.05
